Train R2 score,Cross val R2 score,Test R2 score,Mean Squared Error
0.8651668985934982,0.8636660819816226,0.8858427254635541,0.018662083415835383
0.8697917135398893,0.864924569167367,0.8866276037866171,0.018533773899023928
0.8695590357778122,0.865159308069854,0.8856960456636457,0.018686062182606288
0.8697917135398893,0.864924569167367,0.8866276037866171,0.018533773899023928
0.879155664453361,0.8703694348881357,0.8940680601759997,0.01731743075878707
0.8810821899889725,0.8713840950740177,0.8937021610506197,0.01737724683294748
0.9178518309948248,0.9010320569969666,0.9147561231691852,0.013935409255044693
0.9183360487619552,0.9016324377825043,0.9130930409085912,0.014207284875767338
0.9189202945219621,0.9072567658274394,0.9069100751742332,0.0047254683153374645
0.869471863814165,0.8647627436474433,0.8860597667859715,0.018626602161748988
